route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
333,1,333,"Lewis Farms - Rosenthal",,3,,,
339,1,339,"Century Park - Heritage Valley",,3,,,
34,1,34,"Southgate - Bulyea - Leger",,3,,,
340,1,340,"Mill Woods - Millgate",,3,,,
347,1,347,"Century Park - Allard",,3,,,
35,1,35,"Century Park - Leger",,3,,,
36,1,36,"Century Park - South Campus/Fort Edmonton",,3,,,
361,1,361,"Mill Woods - Millgate",,3,,,
362,1,362,"Mill Woods - Southwood",,3,,,
363,1,363,"Mill Woods - Southwood",,3,,,
37,1,37,"Century Park - Leger",,3,,,
370,1,370,"Millgate - Mill Woods",,3,,,
38,1,38,"Leger - Southgate",,3,,,
381,1,381,"Hollick Kenyon - West Clareview",,3,,,
39,1,39,"Century Park - MacEwan - Rutherford",,3,,,
399,1,399,"Coliseum - Concordia University",,3,,,
4,1,4,"Lewis Farms - University - Capilano",,3,,,
40,1,40,"Century Park - Yellowbird - Southgate",,3,,,
41,1,41,"Century Park - Southgate",,3,,,
43,1,43,"Century Park - South Campus/Fort Edmonton",,3,,,
44,1,44,"Southgate - Twin Brooks",,3,,,
45,1,45,"Century Park - Southgate",,3,,,
46,1,46,"Yellowbird - Century Park - Harry Ainlay",,3,,,
47,1,47,"Century Park - Allard",,3,,,
48,1,48,"Century Park - Blackburne",,3,,,
49,1,49,"Century Park - Blackmud Creek",,3,,,
5,1,5,"Westmount - Downtown - Coliseum",,3,,,
50,1,50,"South Campus/Fort Edmonton - Southgate",,3,,,
501,1,"Capital","LRT Capital Line",,0,,,
502,1,"Metro","LRT Metro Line",,0,,,
51,1,51,"Parkallen - University",,3,,,
512,1,512,"LRT Late Night Service",,3,,,
52,1,52,"Southgate - Downtown (Nights - 97 Ave only)",,3,,,
53,1,53,"Southgate - South Campus/Fort Edmonton",,3,,,
54,1,54,"South Campus/Fort Edmonton - University",,3,,,
540,1,540,"Beaumont - Edmonton",,3,,,
55,1,55,"Southgate - Belgravia",,3,,,
560,1,560,"Spruce Grove - Edmonton (Downtown)",,3,,,
