service_id,date,exception_type
DX-004-Weekday-1-20-02-0000100,20200214,1
DX-004-Weekday-1-20-02-0000100,20200306,1
DX-004-Weekday-1-20-02-0000100,20200313,1
DX-004-Weekday-1-20-02-0000100,20200320,1
DX-004-Weekday-1-20-02-0000100,20200403,1
DX-004-Weekday-1-20-02-0000100,20200417,1
DX-004-Weekday-1-20-02-0000100,20200424,1
DX-004-Weekday-1-20-02-0001000,20200213,1
DX-004-Weekday-1-20-02-0001000,20200305,1
DX-004-Weekday-1-20-02-0001000,20200312,1
DX-004-Weekday-1-20-02-0001000,20200319,1
DX-004-Weekday-1-20-02-0001000,20200402,1
DX-004-Weekday-1-20-02-0001000,20200409,1
DX-004-Weekday-1-20-02-0001000,20200416,1
DX-004-Weekday-1-20-02-0001000,20200423,1
DX-004-Weekday-1-20-02-1010100,20200210,1
DX-004-Weekday-1-20-02-1010100,20200212,1
DX-004-Weekday-1-20-02-1010100,20200214,1
DX-004-Weekday-1-20-02-1010100,20200224,1
DX-004-Weekday-1-20-02-1010100,20200226,1
DX-004-Weekday-1-20-02-1010100,20200302,1
DX-004-Weekday-1-20-02-1010100,20200304,1
DX-004-Weekday-1-20-02-1010100,20200306,1
DX-004-Weekday-1-20-02-1010100,20200309,1
DX-004-Weekday-1-20-02-1010100,20200311,1
DX-004-Weekday-1-20-02-1010100,20200313,1
DX-004-Weekday-1-20-02-1010100,20200316,1
DX-004-Weekday-1-20-02-1010100,20200318,1
DX-004-Weekday-1-20-02-1010100,20200320,1
DX-004-Weekday-1-20-02-1010100,20200330,1
DX-004-Weekday-1-20-02-1010100,20200401,1
DX-004-Weekday-1-20-02-1010100,20200403,1
DX-004-Weekday-1-20-02-1010100,20200406,1
DX-004-Weekday-1-20-02-1010100,20200408,1
DX-004-Weekday-1-20-02-1010100,20200415,1
DX-004-Weekday-1-20-02-1010100,20200417,1
DX-004-Weekday-1-20-02-1010100,20200420,1
DX-004-Weekday-1-20-02-1010100,20200422,1
DX-004-Weekday-1-20-02-1010100,20200424,1
DX-004-Weekday-1-20-02-1110100,20200210,1
DX-004-Weekday-1-20-02-1110100,20200211,1
DX-004-Weekday-1-20-02-1110100,20200212,1
DX-004-Weekday-1-20-02-1110100,20200214,1
DX-004-Weekday-1-20-02-1110100,20200224,1
DX-004-Weekday-1-20-02-1110100,20200225,1
DX-004-Weekday-1-20-02-1110100,20200226,1
DX-004-Weekday-1-20-02-1110100,20200302,1
DX-004-Weekday-1-20-02-1110100,20200303,1
DX-004-Weekday-1-20-02-1110100,20200304,1
DX-004-Weekday-1-20-02-1110100,20200306,1
DX-004-Weekday-1-20-02-1110100,20200309,1
DX-004-Weekday-1-20-02-1110100,20200310,1
DX-004-Weekday-1-20-02-1110100,20200311,1
DX-004-Weekday-1-20-02-1110100,20200313,1
DX-004-Weekday-1-20-02-1110100,20200316,1
DX-004-Weekday-1-20-02-1110100,20200317,1
DX-004-Weekday-1-20-02-1110100,20200318,1
DX-004-Weekday-1-20-02-1110100,20200320,1
DX-004-Weekday-1-20-02-1110100,20200330,1
DX-004-Weekday-1-20-02-1110100,20200331,1
DX-004-Weekday-1-20-02-1110100,20200401,1
