stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1158,1158,"105 Street & 122 Avenue",,  53.576666,-113.500334,1EDM,,0,
1159,1159,"Groat Road & 107 Avenue",,  53.550782,-113.548775,1EDM,,0,
1160,1160,"95 Street & 109 Avenue",,  53.556196,-113.484999,1EDM,,0,
1163,1163,"95 Street & 115 Avenue",,  53.565735,-113.486562,1EDM,,0,
1164,1164,"88 Street & 112 Avenue",,  53.561151,-113.477142,1EDM,,0,
1165,1165,"73 Street & 111 Avenue",,  53.561955,-113.448368,1EDM,,0,
1167,1167,"97 Street & 106 Avenue",,  53.550538,-113.488759,1EDM,,0,
1168,1168,"36 Street & 121 Avenue",,  53.575134,-113.397310,1EDM,,0,
1169,1169,"95 Street & 108A Avenue",,  53.555948,-113.484636,1EDM,,0,
1170,1170,"95 Street & 116 Avenue",,  53.567103,-113.487327,1EDM,,0,
1171,1171,"34 Street & 116A Avenue",,  53.568433,-113.393793,1EDM,,0,
1172,1172,"89 Street & 118 Avenue",,  53.570323,-113.477618,1EDM,,0,
1173,1173,"89 Street & Rowland Road",,  53.547906,-113.470473,1EDM,,0,
1174,1174,"43 Street & 118 Avenue",,  53.570434,-113.408278,1EDM,,0,
1175,1175,"38 Street & 118 Avenue",,  53.570304,-113.399229,1EDM,,0,
1176,1176,"34 Street & 114 Avenue",,  53.567146,-113.393638,1EDM,,0,
1177,1177,"50 Street & 123 Avenue",,  53.577977,-113.418479,1EDM,,0,
1178,1178,"90 Street & Jasper Avenue",,  53.551113,-113.473635,1EDM,,0,
1179,1179,"42 Street & 118 Avenue",,  53.570293,-113.405556,1EDM,,0,
1180,1180,"82 Street & 112 Avenue",,  53.560817,-113.467442,1EDM,,0,
1181,1181,"97 Street & 110 Avenue",,  53.557453,-113.491626,1EDM,,0,
1182,1182,"57 Street & 118 Avenue",,  53.570305,-113.428812,1EDM,,0,
1183,1183,"124 Street & 108 Avenue",,  53.552136,-113.536017,1EDM,,0,
1184,1184,"90 Street & Jasper Avenue",,  53.551334,-113.473186,1EDM,,0,
1185,1185,"69 Street & 118 Avenue",,  53.570451,-113.448497,1EDM,,0,
1186,1186,"42 Street & 121 Avenue",,  53.575037,-113.405639,1EDM,,0,
1188,1188,"95 Street & Jasper Avenue",,  53.544658,-113.478599,1EDM,,0,
1189,1189,"95 Street & 113 Avenue",,  53.562892,-113.487049,1EDM,,0,
1190,1190,"McDougall Hill & Grierson Hill",,  53.538545,-113.490588,1EDM,,0,
1191,1191,"111 Street & 111 Avenue",,  53.558986,-113.512451,1EDM,,0,
1192,1192,"40 Street & 121 Avenue",,  53.575045,-113.402536,1EDM,,0,
1193,1193,"97 Street & 107 Avenue",,  53.552349,-113.489516,1EDM,,0,
1194,1194,"82 Street & 122 Avenue",,  53.576775,-113.467934,1EDM,,0,
1195,1195,"66 Street & 120 Avenue",,  53.573816,-113.442885,1EDM,,0,
1196,1196,"97 Street & Jasper Avenue",,  53.542308,-113.484649,1EDM,,0,
1197,1197,"73 Street & 112 Avenue",,  53.562325,-113.449483,1EDM,,0,
1199,1199,"97 Street & Yellowhead Trail",,  53.581460,-113.492333,1EDM,,0,
1201,1201,"Coliseum Transit Centre",,  53.570794,-113.458977,1EDM,,0,
1202,1202,"Coliseum Transit Centre",,  53.570769,-113.459350,1EDM,,0,
1203,1203,"Coliseum Transit Centre",,  53.570743,-113.459651,1EDM,,0,
1204,1204,"Coliseum Transit Centre",,  53.570712,-113.459947,1EDM,,0,
1205,1205,"Coliseum Transit Centre",,  53.570693,-113.460200,1EDM,,0,
1206,1206,"Coliseum Transit Centre",,  53.570945,-113.460485,1EDM,,0,
1207,1207,"Coliseum Transit Centre",,  53.570972,-113.460196,1EDM,,0,
1208,1208,"Coliseum Transit Centre",,  53.570999,-113.459888,1EDM,,0,
1209,1209,"Coliseum Transit Centre",,  53.571024,-113.459515,1EDM,,0,
1210,1210,"Coliseum Transit Centre",,  53.571051,-113.459224,1EDM,,0,
1211,1211,"Coliseum Transit Centre",,  53.571155,-113.458545,1EDM,,0,
1213,1213,"Coliseum Transit Centre",,  53.570889,-113.460833,1EDM,,0,
1220,1220,"64 Street & 112 Avenue",,  53.565164,-113.436795,1EDM,,0,
1221,1221,"97 Street & 111 Avenue",,  53.558640,-113.492046,1EDM,,0,
1222,1222,"95 Street & Jasper Avenue",,  53.544942,-113.479564,1EDM,,0,
1223,1223,"106 Street & 117 Avenue",,  53.567449,-113.503102,1EDM,,0,
1224,1224,"83 Street & 111 Avenue",,  53.559601,-113.468406,1EDM,,0,
1225,1225,"55 Street & 118 Avenue",,  53.570301,-113.425788,1EDM,,0,
1226,1226,"106 Street & 113 Avenue",,  53.562229,-113.503530,1EDM,,0,
1227,1227,"106 Street & 117 Avenue",,  53.568069,-113.502751,1EDM,,0,
1228,1228,"50 Street & 112 Avenue",,  53.567313,-113.419591,1EDM,,0,
1229,1229,"83 Street & 115 Avenue",,  53.565751,-113.468386,1EDM,,0,
1230,1230,"38 Street & 121 Avenue",,  53.575052,-113.399266,1EDM,,0,
1231,1231,"82 Street & 118 Avenue",,  53.570438,-113.468047,1EDM,,0,
1232,1232,"96 Street & 111 Avenue",,  53.559248,-113.489031,1EDM,,0,
1233,1233,"101 Street & 111 Avenue",,  53.559243,-113.493595,1EDM,,0,
1235,1235,"82 Street & 118 Avenue",,  53.570333,-113.466591,1EDM,,0,
1236,1236,"70 Street & 118 Avenue",,  53.570324,-113.449290,1EDM,,0,
1237,1237,"101 Street & 117 Avenue",,  53.569217,-113.493554,1EDM,,0,
1238,1238,"55 Street & 112 Avenue",,  53.567314,-113.426660,1EDM,,0,
1239,1239,"86 Street & 114 Avenue",,  53.563974,-113.473420,1EDM,,0,
1240,1240,"124 Street & Stony Plain Road",,  53.546474,-113.536049,1EDM,,0,
1241,1241,"34 Street & 119 Avenue",,  53.571534,-113.393840,1EDM,,0,
1242,1242,"124 Street & 102 Avenue",,  53.542251,-113.536015,1EDM,,0,
1243,1243,"101 Street & 102  Avenue",,  53.542281,-113.493893,1EDM,,0,
1244,1244,"82 Street & Jasper Avenue",,  53.557500,-113.467184,1EDM,,0,
1245,1245,"41 Street & 118 Avenue",,  53.570434,-113.405494,1EDM,,0,
1246,1246,"100 Street & 102 Avenue",,  53.543869,-113.490622,1EDM,,0,
1247,1247,"95 Street & 103A Avenue",,  53.548231,-113.480334,1EDM,,0,
1248,1248,"93 Street & Jasper Avenue",,  53.547340,-113.476650,1EDM,,0,
1249,1249,"87 Street & 115 Avenue",,  53.565734,-113.474144,1EDM,,0,
1250,1250,"97 Street & 107 Avenue",,  53.551436,-113.489340,1EDM,,0,
1251,1251,"102 Street & MacDonald Drive",,  53.539625,-113.495312,1EDM,,0,
1252,1252,"88 Street & 118 Avenue",,  53.570465,-113.475839,1EDM,,0,
1253,1253,"97 Street & 102 Avenue",,  53.544368,-113.486204,1EDM,,0,
1254,1254,"92 Street & 101A Avenue",,  53.544310,-113.471838,1EDM,,0,
1255,1255,"46 Street & 121 Avenue",,  53.575135,-113.412578,1EDM,,0,
1256,1256,"Thornton Court & Jasper Avenue",,  53.541424,-113.487316,1EDM,,0,
1257,1257,"103 Street & 122 Avenue",,  53.576801,-113.497835,1EDM,,0,
1258,1258,"95 Street & 117 Avenue",,  53.568682,-113.487343,1EDM,,0,
1259,1259,"82 Street & 120 Avenue",,  53.573291,-113.467431,1EDM,,0,
1260,1260,"61 Street & 122 Avenue",,  53.576912,-113.435479,1EDM,,0,
1261,1261,"47 Street & 118 Avenue",,  53.570419,-113.414366,1EDM,,0,
1262,1262,"100 Street & Jasper Avenue",,  53.541166,-113.491477,1EDM,,0,
1263,1263,"95 Street & 122 Avenue",,  53.576684,-113.487772,1EDM,,0,
1264,1264,"95 Street & 122 Avenue",,  53.576560,-113.486789,1EDM,,0,
1265,1265,"86 Street & 112 Avenue",,  53.561169,-113.474048,1EDM,,0,
1266,1266,"97 Street & Jasper Avenue",,  53.541938,-113.486417,1EDM,,0,
1267,1267,"40 Street & 114 Avenue",,  53.566843,-113.403420,1EDM,,0,
1268,1268,"95 Street & 111 Avenue",,  53.560633,-113.487013,1EDM,,0,
1269,1269,"124 Street & 114 Avenue",,  53.563284,-113.536033,1EDM,,0,
1270,1270,"60 Street & 112 Avenue",,  53.566565,-113.431057,1EDM,,0,
1271,1271,"105 Street & Jasper Avenue",,  53.540836,-113.499929,1EDM,,0,
1272,1272,"122 Street & 111 Avenue",,  53.558806,-113.532005,1EDM,,0,
1273,1273,"110 Street & 111 Avenue",,  53.558794,-113.509864,1EDM,,0,
1274,1274,"53 Street & 118 Avenue",,  53.570414,-113.423534,1EDM,,0,
1275,1275,"54 Street & 120 Avenue",,  53.573892,-113.424488,1EDM,,0,
1276,1276,"46 Street & 114 Avenue",,  53.566836,-113.412808,1EDM,,0,
1277,1277,"86 Street & 114 Avenue",,  53.564521,-113.473178,1EDM,,0,
1278,1278,"97 Street & 122 Avenue",,  53.576796,-113.493268,1EDM,,0,
1279,1279,"124 Street & 118 Avenue",,  53.569809,-113.536056,1EDM,,0,
1280,1280,"97 Street & 103 Avenue",,  53.545933,-113.487051,1EDM,,0,
1281,1281,"69 Street & 112 Avenue",,  53.563464,-113.444079,1EDM,,0,
1282,1282,"32 Street & 107A Avenue",,  53.561455,-113.389295,1EDM,,0,
1283,1283,"124 Street & 111 Avenue",,  53.558823,-113.535208,1EDM,,0,
1284,1284,"97 Street & 108 Avenue",,  53.553407,-113.490174,1EDM,,0,
1285,1285,"66 Street & 118 Avenue",,  53.570302,-113.442527,1EDM,,0,
1286,1286,"Fort Road & 121 Avenue",,  53.574916,-113.460220,1EDM,,0,
1287,1287,"97 Street & 118 Avenue",,  53.570496,-113.493388,1EDM,,0,
1288,1288,"95 Street & 118 Avenue",,  53.570435,-113.487781,1EDM,,0,
1289,1289,"101 Street & 116 Avenue",,  53.567097,-113.493817,1EDM,,0,
1292,1292,"100 Street & 102A Avenue",,  53.543726,-113.490924,1EDM,,0,
1293,1293,"110 Street & 100 Avenue",,  53.538536,-113.510184,1EDM,,0,
1294,1294,"Wayne Gretzky Drive S & 118 Avenue",,  53.570226,-113.453089,1EDM,,0,
1295,1295,"97 Street & 108 Avenue",,  53.554002,-113.490210,1EDM,,0,
1296,1296,"34 Street & 118 Avenue",,  53.570477,-113.394411,1EDM,,0,
1298,1298,"38 Street & 110 Avenue",,  53.562941,-113.400066,1EDM,,0,
1301,1301,"Government Transit Centre",,  53.536153,-113.504253,1EDM,,0,
1303,1303,"Government Transit Centre",,  53.535867,-113.504431,1EDM,,0,
1304,1304,"Government Transit Centre",,  53.536019,-113.504463,1EDM,,0,
1305,1305,"Government Transit Centre",,  53.536199,-113.504458,1EDM,,0,
1306,1306,"Government Transit Centre",,  53.536399,-113.504482,1EDM,,0,
