from_stop_id,to_stop_id,transfer_type,min_transfer_time
1166840,7899182,2,108
1166840,7900216,2,186
1166840,7900217,2,186
1166840,7913217,2,214
1166840,7913218,2,205
1166840,7913219,2,203
1166840,7921088,2,242
1166840,7921089,2,203
1166840,7991701,2,226
1166840,8135306,2,215
1166840,8135307,2,215
1166840,8357863,2,108
1166840,8357864,2,212
1166840,8357865,2,247
1166840,8357914,2,210
1166841,1715,2,140
1166841,1724,2,180
1166841,2460,2,140
1166841,2469,2,180
1166841,3749688,2,108
1166841,3749689,2,212
1166841,3749690,2,210
1166841,3749691,2,252
1166841,3893335,2,187
1166841,3893336,2,187
1166841,4035038,2,215
1166841,4035039,2,215
1166841,4036660,2,254
1166841,4036661,2,196
1166841,4036747,2,210
1166841,4036748,2,196
1166841,4036749,2,226
1166841,4036827,2,254
1166841,4045022,2,210
1166841,4459239,2,226
1166841,4459240,2,210
1166841,4473190,2,215
1166841,4473191,2,215
1166841,4473192,2,252
1166841,5018190,2,254
1166841,5018191,2,196
1166841,5018192,2,226
1166841,7176249,2,254
1166841,7176250,2,196
1166841,7899121,2,204
1166841,7899122,2,205
1166841,7899182,2,108
1166841,7900216,2,186
1166841,7900217,2,186
1166841,7913217,2,214
1166841,7913218,2,205
1166841,7913219,2,203
1166841,7921088,2,242
1166841,7921089,2,203
1166841,7991701,2,226
1166841,8135306,2,215
1166841,8135307,2,215
1166841,8357863,2,108
1166841,8357864,2,212
1166841,8357865,2,247
1166841,8357914,2,210
1629,4036663,2,281
1629,4459237,2,238
1629,7933298,2,258
1629,7933299,2,281
1630,1629,2,72
1630,2509,2,72
1630,4036663,2,281
1630,4459237,2,238
1630,7275545,2,238
1630,7275551,2,281
1630,7911755,2,251
1630,7911756,2,238
1630,7911768,2,241
1630,7931324,2,281
1630,7931386,2,258
1630,7933298,2,258
1630,7933299,2,281
1631,5922162,2,193
1631,5922163,2,255
1631,7920877,2,215
1631,7920878,2,215
1632,3887809,2,198
1632,4037035,2,198
1632,4473023,2,198
1632,7275660,2,198
1634,5018173,2,259
1634,5018174,2,216
1634,7714272,2,288
1634,7714273,2,288
1634,7933302,2,236
1634,7933303,2,234
1636,3682706,2,198
1636,3682707,2,198
1636,4208596,2,198
1636,4208597,2,198
1639,4036804,2,195
1639,4036805,2,189
1639,4378059,2,297
1639,4378060,2,273
1639,4378061,2,323
1641,3926302,2,241
1641,3926303,2,231
1641,7931557,2,282
1641,8452191,2,241
1641,8452192,2,231
1644,5582589,2,223
1644,5582590,2,235
1644,7899028,2,207
1644,7899029,2,201
1644,7920842,2,243
1644,7920886,2,211
1644,7920972,2,243
1644,7921042,2,211
1645,1763,2,90
1645,2409,2,90
1645,5138190,2,261
1645,5138191,2,188
1646,3887775,2,275
1646,4036996,2,238
1646,5138184,2,190
1646,5138185,2,199
1646,6591468,2,238
1646,7899567,2,238
1646,7931875,2,272
1646,7931876,2,284
1646,7946290,2,238
1648,1794,2,112
1648,2404,2,116
1648,3893369,2,242
1648,3893370,2,237
1648,3893371,2,234
1648,3926308,2,237
1648,3926309,2,225
1648,3926337,2,248
1648,4036786,2,222
1648,4036787,2,263
1648,7920963,2,227
1648,7920964,2,227
1648,7920965,2,237
1648,7920966,2,234
1648,7921198,2,237
1648,7921199,2,248
1648,7921200,2,244
1648,7921212,2,225
1648,7931898,2,242
1648,7931899,2,234
1648,7931900,2,237
1648,7931901,2,234
1648,7932094,2,249
1648,7932095,2,251
1648,7932096,2,244
1648,7932097,2,197
1648,7946353,2,209
1648,7946354,2,209
1648,7946355,2,234
1648,7946356,2,242
1648,7991689,2,244
1648,7991695,2,242
1648,7991696,2,234
1648,8418736,2,234
1649,4036777,2,219
1649,4036778,2,213
1650,4037255,2,210
1650,4045003,2,197
1650,7275160,2,248
1650,7275208,2,226
1650,7275441,2,234
1650,7275458,2,248
1650,7931538,2,197
1650,7931552,2,210
1650,7931883,2,278
1650,7931885,2,210
1650,7931916,2,197
1650,7945878,2,234
1650,7945924,2,248
1651,1832,2,136
1651,2371,2,166
1652,8516649,2,220
1652,8516650,2,207
1653,1845,2,91
1653,2312,2,80
1653,4037040,2,186
1653,6591519,2,186
1653,7899572,2,187
1653,7899573,2,189
1653,7922516,2,227
1653,7922517,2,246
1653,7931779,2,232
1653,7931804,2,186
1653,7931805,2,232
1653,7964968,2,186
1653,8321648,2,186
1653,8321668,2,232
1653,8321700,2,232
1653,8367267,2,227
1655,1883,2,180
1655,2279,2,187
1655,4211797,2,225
1655,4211798,2,245
1655,5018150,2,245
1655,5018151,2,225
1655,7275133,2,225
1655,7275134,2,245
1655,7931438,2,267
